user_address,amount
0x001Daa61Eaa241A8D89607194FC3b1184dcB9B4C,1
0x005FbBABD1e619324011d3312CF6166921A294aF,1
0x00EE80c322D6e956D2629a73223605bBda946F2d,1
0x00FDBb477d1cD363C333eaC93FE7Eb0397Acd470,1
0x012430f934BC381d9F59a28EA34363bCE170353D,1
0x012de6DFCf416c3127BaE4366dA565118098AD44,1
0x01985690D95d15aB17F26BBA1A466703EA4367B3,1
0x021d5ABEA6EFbcD5dBa2C8Ae9237471448Ea0856,1
0x029a3D224e8C5DAf8D5126f35502D7AeCd23FB02,1
0x02aD96441975DB106D7B5C47F7Fa0fA84a4fcbd8,1
0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,1
0x02B93521b9f0E3F9b768522b2d30D54c0e5DF3b8,1
0x02Fb763A0454a54B3ffd02427f54340B42FE8e7c,1
0x034961ef5fD3f25dbb91440AD3CE0a119e875847,1
0x037EdEE599040dAD55532CC385A8a974D01466d3,1
0x038F77Ab71FC40949eEa81aa65B471C6a3F1A02d,1
0x03b16Ab6e23BdBeEAB719d8e4C49D63674876253,1
0x04F21709FFf6A0857f4a19dfa8a8548D2D9CCfF9,1
0x05070F1b87F8a8828EB596Be7cA64aE787341996,1
0x05AFd51e3f61e735CCa2F3B95d26B3e320fC5806,1
0x0628C084F4b72c1297e96C7005F309ae89F982A6,1
0x062988B1f197f10367179302722Eddcbc8280fbb,1
